"ID";"Категория";"Триггеры";"Ответ";"Подтверждение"
"r029";"Улыбки";"😊, 😄, 😁, 😀, 😃, ☺️, 🙂, 🤗, улыбнуло, улыбаюсь";"Передаём немного хорошего настроения 😊";"автоматически для простых реакций"
"r030";"Улыбки";"😊, 😄, 😁, 😀, 😃, ☺️, 🙂, 🤗, улыбнуло, улыбаюсь";"Приятно видеть вашу улыбку!";"автоматически для простых реакций"
"r031";"Улыбки";"😊, 😄, 😁, 😀, 😃, ☺️, 🙂, 🤗, улыбнуло, улыбаюсь";"Пусть день будет таким же добрым 😊";"автоматически для простых реакций"
"r032";"Улыбки";"😊, 😄, 😁, 😀, 😃, ☺️, 🙂, 🤗, улыбнуло, улыбаюсь";"Рады, что заглянули!";"автоматически для простых реакций"
"r033";"Улыбки";"😊, 😄, 😁, 😀, 😃, ☺️, 🙂, 🤗, улыбнуло, улыбаюсь";"Ловите улыбку от нас 😄";"автоматически для простых реакций"
"r034";"Улыбки";"😊, 😄, 😁, 😀, 😃, ☺️, 🙂, 🤗, улыбнуло, улыбаюсь";"Теплее стало в комментариях 😊";"автоматически для простых реакций"
"r035";"Улыбки";"😊, 😄, 😁, 😀, 😃, ☺️, 🙂, 🤗, улыбнуло, улыбаюсь";"Спасибо, что делитесь настроением!";"автоматически для простых реакций"
"r036";"Сердечки";"❤️, ❤, ♥️, 💙, 💜, 💚, 💛, 🧡, 🖤, 🤍, 🤎, 💕, 💞, 💖, 💗, 💓, 😍, 🥰, 😻, люблю, обожаю";"Сердечко в ответ ❤️";"автоматически для простых реакций"
"r037";"Сердечки";"❤️, ❤, ♥️, 💙, 💜, 💚, 💛, 🧡, 🖤, 🤍, 🤎, 💕, 💞, 💖, 💗, 💓, 😍, 🥰, 😻, люблю, обожаю";"Спасибо за тепло!";"автоматически для простых реакций"
"r038";"Сердечки";"❤️, ❤, ♥️, 💙, 💜, 💚, 💛, 🧡, 🖤, 🤍, 🤎, 💕, 💞, 💖, 💗, 💓, 😍, 🥰, 😻, люблю, обожаю";"Очень приятно ❤️";"автоматически для простых реакций"
"r039";"Сердечки";"❤️, ❤, ♥️, 💙, 💜, 💚, 💛, 🧡, 🖤, 🤍, 🤎, 💕, 💞, 💖, 💗, 💓, 😍, 🥰, 😻, люблю, обожаю";"Ваше сердечко заметили 😊";"автоматически для простых реакций"
"r040";"Сердечки";"❤️, ❤, ♥️, 💙, 💜, 💚, 💛, 🧡, 🖤, 🤍, 🤎, 💕, 💞, 💖, 💗, 💓, 😍, 🥰, 😻, люблю, обожаю";"Спасибо за такую поддержку!";"автоматически для простых реакций"
"r041";"Сердечки";"❤️, ❤, ♥️, 💙, 💜, 💚, 💛, 🧡, 🖤, 🤍, 🤎, 💕, 💞, 💖, 💗, 💓, 😍, 🥰, 😻, люблю, обожаю";"Тепло взаимно ❤️";"автоматически для простых реакций"
"r042";"Сердечки";"❤️, ❤, ♥️, 💙, 💜, 💚, 💛, 🧡, 🖤, 🤍, 🤎, 💕, 💞, 💖, 💗, 💓, 😍, 🥰, 😻, люблю, обожаю";"Приятно читать такие реакции!";"автоматически для простых реакций"
"r043";"Сердечки";"❤️, ❤, ♥️, 💙, 💜, 💚, 💛, 🧡, 🖤, 🤍, 🤎, 💕, 💞, 💖, 💗, 💓, 😍, 🥰, 😻, люблю, обожаю";"Ловите наше сердечко ❤️";"автоматически для простых реакций"
"r044";"Сердечки";"❤️, ❤, ♥️, 💙, 💜, 💚, 💛, 🧡, 🖤, 🤍, 🤎, 💕, 💞, 💖, 💗, 💓, 😍, 🥰, 😻, люблю, обожаю";"Спасибо, что вы с нами!";"автоматически для простых реакций"
"r045";"Сердечки";"❤️, ❤, ♥️, 💙, 💜, 💚, 💛, 🧡, 🖤, 🤍, 🤎, 💕, 💞, 💖, 💗, 💓, 😍, 🥰, 😻, люблю, обожаю";"Этот комментарий согревает 😊";"автоматически для простых реакций"
"r046";"Огонь и восторг";"🔥, 🤩, ✨, 🌟, огонь, бомба, вау, восторг";"Вот это энергия 🔥";"автоматически для простых реакций"
"r047";"Огонь и восторг";"🔥, 🤩, ✨, 🌟, огонь, бомба, вау, восторг";"Спасибо за огонёк!";"автоматически для простых реакций"
"r048";"Огонь и восторг";"🔥, 🤩, ✨, 🌟, огонь, бомба, вау, восторг";"Заряд получен 🔥";"автоматически для простых реакций"
"r049";"Огонь и восторг";"🔥, 🤩, ✨, 🌟, огонь, бомба, вау, восторг";"Рады такой реакции!";"автоматически для простых реакций"
"r050";"Огонь и восторг";"🔥, 🤩, ✨, 🌟, огонь, бомба, вау, восторг";"Вы добавили огня в комментарии 🔥";"автоматически для простых реакций"
"r051";"Огонь и восторг";"🔥, 🤩, ✨, 🌟, огонь, бомба, вау, восторг";"Спасибо за яркую оценку!";"автоматически для простых реакций"
"r052";"Огонь и восторг";"🔥, 🤩, ✨, 🌟, огонь, бомба, вау, восторг";"Поймали ваш восторг 😊";"автоматически для простых реакций"
"r053";"Огонь и восторг";"🔥, 🤩, ✨, 🌟, огонь, бомба, вау, восторг";"Такой отклик вдохновляет!";"автоматически для простых реакций"
"r054";"Одобрение";"👍, 👌, 💯, ✅, 🔝, класс, круто, супер, отлично, топ, классно, классный, крутой, классная, крутая, здорово, шикарно, красавчики, молодцы";"Спасибо за оценку 👍";"автоматически для простых реакций"
"r055";"Одобрение";"👍, 👌, 💯, ✅, 🔝, класс, круто, супер, отлично, топ, классно, классный, крутой, классная, крутая, здорово, шикарно, красавчики, молодцы";"Приятно, что вам понравилось!";"автоматически для простых реакций"
"r056";"Одобрение";"👍, 👌, 💯, ✅, 🔝, класс, круто, супер, отлично, топ, классно, классный, крутой, классная, крутая, здорово, шикарно, красавчики, молодцы";"Спасибо за поддержку! 👍";"автоматически для простых реакций"
"r057";"Одобрение";"👍, 👌, 💯, ✅, 🔝, класс, круто, супер, отлично, топ, классно, классный, крутой, классная, крутая, здорово, шикарно, красавчики, молодцы";"Рады вашему отклику!";"автоматически для простых реакций"
"r058";"Одобрение";"👍, 👌, 💯, ✅, 🔝, класс, круто, супер, отлично, топ, классно, классный, крутой, классная, крутая, здорово, шикарно, красавчики, молодцы";"Такие комментарии очень радуют 😊";"автоматически для простых реакций"
"r059";"Одобрение";"👍, 👌, 💯, ✅, 🔝, класс, круто, супер, отлично, топ, классно, классный, крутой, классная, крутая, здорово, шикарно, красавчики, молодцы";"Спасибо, это приятно слышать!";"автоматически для простых реакций"
"r060";"Одобрение";"👍, 👌, 💯, ✅, 🔝, класс, круто, супер, отлично, топ, классно, классный, крутой, классная, крутая, здорово, шикарно, красавчики, молодцы";"Ваш плюсик заметили 👍";"автоматически для простых реакций"
"r061";"Одобрение";"👍, 👌, 💯, ✅, 🔝, класс, круто, супер, отлично, топ, классно, классный, крутой, классная, крутая, здорово, шикарно, красавчики, молодцы";"Благодарим за добрые слова!";"автоматически для простых реакций"
"r062";"Аплодисменты";"👏, 🙌, 🎉, 🎊, браво, аплодисменты";"Спасибо за аплодисменты 👏";"автоматически для простых реакций"
"r063";"Аплодисменты";"👏, 🙌, 🎉, 🎊, браво, аплодисменты";"Очень приятно получить такой отклик!";"автоматически для простых реакций"
"r064";"Аплодисменты";"👏, 🙌, 🎉, 🎊, браво, аплодисменты";"Ловим ваши овации 😊";"автоматически для простых реакций"
"r065";"Аплодисменты";"👏, 🙌, 🎉, 🎊, браво, аплодисменты";"Спасибо, что поддержали!";"автоматически для простых реакций"
"r066";"Аплодисменты";"👏, 🙌, 🎉, 🎊, браво, аплодисменты";"Аплодисменты получены, настроение поднялось 😊";"автоматически для простых реакций"
"r067";"Поддержка";"💪, 🤝, ✊, 👊, сила, мощно, сильно, уважение, респект";"Спасибо за поддержку 💪";"автоматически для простых реакций"
"r068";"Поддержка";"💪, 🤝, ✊, 👊, сила, мощно, сильно, уважение, респект";"Взаимный респект 🤝";"автоматически для простых реакций"
"r069";"Поддержка";"💪, 🤝, ✊, 👊, сила, мощно, сильно, уважение, респект";"С такой поддержкой бодрее!";"автоматически для простых реакций"
"r070";"Поддержка";"💪, 🤝, ✊, 👊, сила, мощно, сильно, уважение, респект";"Пожимаем руку в ответ 🤝";"автоматически для простых реакций"
"r071";"Поддержка";"💪, 🤝, ✊, 👊, сила, мощно, сильно, уважение, респект";"Ценим такой настрой 💪";"автоматически для простых реакций"
"r072";"Благодарность";"🙏, спасибо, благодарю, благодарим, спс, спасибки, рахмет, рақмет, thanks, thank you";"Пожалуйста 😊";"автоматически для простых реакций"
"r073";"Благодарность";"🙏, спасибо, благодарю, благодарим, спс, спасибки, рахмет, рақмет, thanks, thank you";"Рады быть полезными!";"автоматически для простых реакций"
"r074";"Благодарность";"🙏, спасибо, благодарю, благодарим, спс, спасибки, рахмет, рақмет, thanks, thank you";"И вам спасибо за отклик!";"автоматически для простых реакций"
"r075";"Благодарность";"🙏, спасибо, благодарю, благодарим, спс, спасибки, рахмет, рақмет, thanks, thank you";"Спасибо, что написали 😊";"автоматически для простых реакций"
"r076";"Благодарность";"🙏, спасибо, благодарю, благодарим, спс, спасибки, рахмет, рақмет, thanks, thank you";"Очень приятно, что пригодилось!";"автоматически для простых реакций"
"r077";"Благодарность";"🙏, спасибо, благодарю, благодарим, спс, спасибки, рахмет, рақмет, thanks, thank you";"Благодарим за добрые слова 😊";"автоматически для простых реакций"
"r078";"Благодарность";"🙏, спасибо, благодарю, благодарим, спс, спасибки, рахмет, рақмет, thanks, thank you";"Всегда рады вашему отклику!";"автоматически для простых реакций"
"r079";"Благодарность";"🙏, спасибо, благодарю, благодарим, спс, спасибки, рахмет, рақмет, thanks, thank you";"Ценим вашу благодарность!";"автоматически для простых реакций"
"r080";"Приветствие";"👋, привет, здравствуйте, добрый день, добрый вечер, доброе утро, салам, сәлем, hello, hi";"Здравствуйте! Рады вам 👋";"автоматически для простых реакций"
"r081";"Приветствие";"👋, привет, здравствуйте, добрый день, добрый вечер, доброе утро, салам, сәлем, hello, hi";"Приветствуем 😊";"автоматически для простых реакций"
"r082";"Приветствие";"👋, привет, здравствуйте, добрый день, добрый вечер, доброе утро, салам, сәлем, hello, hi";"Добрый день! Чем можем помочь?";"автоматически для простых реакций"
"r083";"Приветствие";"👋, привет, здравствуйте, добрый день, добрый вечер, доброе утро, салам, сәлем, hello, hi";"Рады видеть вас в комментариях!";"автоматически для простых реакций"
"r084";"Приветствие";"👋, привет, здравствуйте, добрый день, добрый вечер, доброе утро, салам, сәлем, hello, hi";"Здравствуйте! Какой вопрос вас интересует?";"автоматически для простых реакций"
"r085";"Знакомая ситуация";"жиза, жизненно, знакомо, знакомая ситуация, было дело, точно, в точку";"Похоже, ситуация знакомая 😄";"автоматически для простых реакций"
"r086";"Знакомая ситуация";"жиза, жизненно, знакомо, знакомая ситуация, было дело, точно, в точку";"Такие моменты запоминаются!";"автоматически для простых реакций"
"r087";"Знакомая ситуация";"жиза, жизненно, знакомо, знакомая ситуация, было дело, точно, в точку";"Жизнь иногда сама пишет сценарии 😄";"автоматически для простых реакций"
"r088";"Знакомая ситуация";"жиза, жизненно, знакомо, знакомая ситуация, было дело, точно, в точку";"Значит, не только нам знакомо 😊";"автоматически для простых реакций"
"r089";"Цена — уточнение";"💰, 💸, 💲, цена, цену, ценник, стоимость, сколько стоит, прайс, бағасы, сколько, дорого";"Уточните, пожалуйста, какая услуга вас интересует?";"вручную"
"r090";"Цена — уточнение";"💰, 💸, 💲, цена, цену, ценник, стоимость, сколько стоит, прайс, бағасы, сколько, дорого";"Что именно нужно оценить? Напишите подробнее.";"вручную"
"r091";"Цена — уточнение";"💰, 💸, 💲, цена, цену, ценник, стоимость, сколько стоит, прайс, бағасы, сколько, дорого";"Для какого объёма работ хотите узнать стоимость?";"вручную"
"r092";"Заказ и наличие — уточнение";"заказать, заказ, купить, наличие, в наличии, записаться, запись, заявка, доставка";"Подскажите, что именно вас интересует?";"вручную"
"r093";"Заказ и наличие — уточнение";"заказать, заказ, купить, наличие, в наличии, записаться, запись, заявка, доставка";"Уточните услугу и удобную дату, пожалуйста.";"вручную"
"r094";"Заказ и наличие — уточнение";"заказать, заказ, купить, наличие, в наличии, записаться, запись, заявка, доставка";"Напишите немного подробнее о вашем запросе.";"вручную"
"r095";"Адрес — уточнение";"📍, адрес, где, где находитесь, локация, город, қайда";"В каком городе вам нужна услуга?";"вручную"
"r096";"Адрес — уточнение";"📍, адрес, где, где находитесь, локация, город, қайда";"Уточните, пожалуйста, какой город вас интересует.";"вручную"
"r097";"Адрес — уточнение";"📍, адрес, где, где находитесь, локация, город, қайда";"Подскажите ваш город, чтобы сориентировать по обращению.";"вручную"
"r098";"Контакты — уточнение";"☎️, 📞, контакты, контакт, телефон, номер, связаться, whatsapp, ватсап, ватсапп, ссылка";"По какому вопросу вы хотите связаться?";"вручную"
"r099";"Контакты — уточнение";"☎️, 📞, контакты, контакт, телефон, номер, связаться, whatsapp, ватсап, ватсапп, ссылка";"Уточните тему обращения, пожалуйста.";"вручную"
"r100";"Контакты — уточнение";"☎️, 📞, контакты, контакт, телефон, номер, связаться, whatsapp, ватсап, ватсапп, ссылка";"Контакт для обращений: Maxtsai99lo@gmail.com.";"вручную"
